,link,text,user,date,likes,quotes,retweets,comments
10,https://twitter.com/BJP4India/status/1775506826705977573#m,à¤­à¤¾à¤œà¤ªà¤¾ à¤°à¤¾à¤œà¤¸à¥à¤¥à¤¾à¤¨ à¤®à¥‡à¤‚ à¤¸à¤­à¥€ à¤¸à¥€à¤Ÿà¥‹à¤‚ à¤ªà¤° à¤œà¥€à¤¤ à¤•à¥€ à¤¹à¥ˆà¤Ÿà¥à¤°à¤¿à¤• à¤²à¤—à¤¾à¤¨à¥‡ à¤œà¤¾ à¤°à¤¹à¥€ à¤¹à¥ˆ...  à¤­à¤¾à¤œà¤ªà¤¾ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤°à¥€à¤¯ à¤…à¤§à¥à¤¯à¤•à¥à¤· à¤¶à¥à¤°à¥€ @JPNadda à¤¨à¥‡ à¤°à¤¾à¤œà¤¸à¥à¤¥à¤¾à¤¨ à¤•à¥‡ à¤à¤¾à¤²à¤¾à¤µà¤¾à¤¡à¤¼ à¤®à¥‡à¤‚ à¤µà¤¿à¤¶à¤¾à¤² à¤œà¤¨à¤¸à¤­à¤¾ à¤•à¥‹ à¤¸à¤‚à¤¬à¥‹à¤§à¤¿à¤¤ à¤•à¤¿à¤¯à¤¾à¥¤,BJP,"Apr 3, 2024 Â· 12:53 PM UTC",2016,8,515,70
11,https://twitter.com/BJP4India/status/1775504605700333895#m,à¤•à¥‡à¤‚à¤¦à¥à¤°à¥€à¤¯ à¤—à¥ƒà¤¹ à¤à¤µà¤‚ à¤¸à¤¹à¤•à¤¾à¤°à¤¿à¤¤à¤¾ à¤®à¤‚à¤¤à¥à¤°à¥€ à¤¶à¥à¤°à¥€ @AmitShah à¤¨à¥‡ à¤†à¤œ à¤‰à¤¤à¥à¤¤à¤° à¤ªà¥à¤°à¤¦à¥‡à¤¶ à¤•à¥‡ à¤®à¥à¤œà¤«à¥à¤«à¤°à¤¨à¤—à¤° à¤®à¥‡à¤‚ à¤µà¤¿à¤¶à¤¾à¤² à¤œà¤¨à¤¸à¤­à¤¾ à¤•à¥‹ à¤¸à¤‚à¤¬à¥‹à¤§à¤¿à¤¤ à¤•à¤¿à¤¯à¤¾à¥¤,BJP,"Apr 3, 2024 Â· 12:44 PM UTC",2605,6,545,41
12,https://twitter.com/BJP4India/status/1775499923623997721#m,"à¤ªà¥à¤°à¤§à¤¾à¤¨à¤®à¤‚à¤¤à¥à¤°à¥€ à¤¶à¥à¤°à¥€ @narendramodi à¤•à¥€ 4 à¤…à¤ªà¥à¤°à¥ˆà¤², 2024 à¤•à¥‹ à¤¬à¤¿à¤¹à¤¾à¤° à¤”à¤° à¤ªà¤¶à¥à¤šà¤¿à¤® à¤¬à¤‚à¤—à¤¾à¤² à¤®à¥‡à¤‚ à¤œà¤¨à¤¸à¤­à¤¾à¤à¤‚à¥¤   à¤²à¤¾à¤‡à¤µ à¤¦à¥‡à¤–à¥‡à¤‚ :  ðŸ“ºhttps://twitter.com/BJP4India ðŸ“ºfacebook.com/BJP4India ðŸ“ºyoutube.com/BJP4India ðŸ“ºbjp.org/bjplive",BJP,"Apr 3, 2024 Â· 12:25 PM UTC",433,4,224,18
13,https://twitter.com/BJP4India/status/1775499339395174510#m,"Over the past 10 years, the Central govt has created numerous avenues for the youth. The youth has our full support.  We have brought many initiatives to transform the lives of the poor... over 25 crore people have moved out of poverty.  - PM @narendramodi",BJP,"Apr 3, 2024 Â· 12:23 PM UTC",457,1,196,24
14,https://twitter.com/BJP4India/status/1775498674551873698#m,"à¤¬à¥€à¤¤à¥‡ 10 à¤¸à¤¾à¤² à¤®à¥‡à¤‚ à¤œà¥‹ à¤¹à¥à¤† à¤µà¥‹ à¤¤à¥‹ à¤¸à¤¿à¤°à¥à¤« à¤Ÿà¥à¤°à¥‡à¤²à¤° à¤¹à¥ˆ, à¤…à¤­à¥€ à¤¤à¥‹ à¤¬à¤¹à¥à¤¤ à¤•à¥à¤› à¤•à¤°à¤¨à¤¾ à¤¹à¥ˆà¥¤ à¤…à¤­à¥€ à¤¤à¥‹ à¤¹à¤®à¥‡à¤‚ à¤¦à¥‡à¤¶ à¤•à¥‹ à¤¬à¤¹à¥à¤¤ à¤†à¤—à¥‡ à¤²à¥‡à¤•à¤° à¤œà¤¾à¤¨à¤¾ à¤¹à¥ˆà¥¤   à¤¬à¥€à¤¤à¥‡ 10 à¤µà¤°à¥à¤·à¥‹à¤‚ à¤®à¥‡à¤‚ à¤•à¥‡à¤‚à¤¦à¥à¤° à¤¸à¤°à¤•à¤¾à¤° à¤¨à¥‡ à¤—à¤°à¥€à¤¬à¥‹à¤‚ à¤•à¤¾ à¤œà¥€à¤µà¤¨ à¤¬à¤¦à¤²à¤¨à¥‡ à¤•à¥‡ à¤²à¤¿à¤ à¤•à¤ˆ à¤¯à¥‹à¤œà¤¨à¤¾à¤à¤‚ à¤²à¤¾à¤—à¥‚ à¤•à¥€ à¤¹à¥ˆà¤‚à¥¤ à¤‡à¤¸à¥€ à¤•à¤¾ à¤ªà¤°à¤¿à¤£à¤¾à¤® à¤¹à¥ˆ à¤•à¤¿ à¤†à¤œ à¤•à¤°à¥€à¤¬ 25 à¤•à¤°à¥‹à¤¡à¤¼ à¤²à¥‹à¤— à¤—à¤°à¥€à¤¬à¥€ à¤¸à¥‡ à¤¬à¤¾à¤¹à¤° à¤†à¤ à¤¹à¥ˆà¤‚à¥¤ à¤¹à¤®à¤¾à¤°à¥€ à¤¨à¥€à¤¯à¤¤ à¤¸à¤¹à¥€ à¤¹à¥ˆ... à¤‡à¤¸à¤²à¤¿à¤ à¤¨à¤¤à¥€à¤œà¥‡ à¤¸à¤¹à¥€ à¤¹à¥ˆà¤‚à¥¤  - à¤ªà¥€à¤à¤® @narendramodi",BJP,"Apr 3, 2024 Â· 12:20 PM UTC",582,0,242,39
15,https://twitter.com/BJP4India/status/1775498510218961244#m,Govt of West Bengal has renamed the initiatives of the Central govt and branded them as their own.  The people of Bengal are aware that the Bengal govt neither implements the Central initiatives nor works for the people. Their only concern is to loot the public.  - PM @narendramodi,BJP,"Apr 3, 2024 Â· 12:20 PM UTC",470,1,175,16
16,https://twitter.com/BJP4India/status/1775498413678739918#m,à¤¬à¤‚à¤—à¤¾à¤² à¤•à¥‡ à¤²à¥‹à¤— à¤…à¤¬ à¤¸à¤®à¤ à¤šà¥à¤•à¥‡ à¤¹à¥ˆà¤‚ à¤•à¤¿ à¤Ÿà¥€à¤à¤®à¤¸à¥€ à¤¸à¤°à¤•à¤¾à¤° à¤¨à¤¾ à¤¤à¥‹ à¤•à¥‡à¤‚à¤¦à¥à¤° à¤•à¥€ à¤¯à¥‹à¤œà¤¨à¤¾à¤à¤‚ à¤ à¥€à¤• à¤¸à¥‡ à¤²à¤¾à¤—à¥‚ à¤¹à¥‹à¤¨à¥‡ à¤¦à¥‡à¤¤à¥€ à¤¹à¥ˆ à¤”à¤° à¤¨à¤¾ à¤¹à¥€ à¤–à¥à¤¦ à¤¸à¥‡ à¤•à¤¾à¤® à¤•à¤°à¤¤à¥€ à¤¹à¥ˆà¥¤  à¤¸à¤°à¤•à¤¾à¤°à¥€ à¤–à¤œà¤¾à¤¨à¥‡ à¤•à¥€ à¤²à¥‚à¤Ÿ à¤”à¤° à¤—à¥à¤‚à¤¡à¥‹à¤‚ à¤•à¤¾ à¤¸à¤‚à¤°à¤•à¥à¤·à¤£... à¤Ÿà¥€à¤à¤®à¤¸à¥€ à¤¸à¤°à¤•à¤¾à¤° à¤•à¤¾ à¤à¤œà¥‡à¤‚à¤¡à¤¾ à¤¹à¥‹ à¤—à¤¯à¤¾ à¤¹à¥ˆà¥¤ à¤¸à¤°à¤•à¤¾à¤° à¤•à¥‡ à¤®à¤¹à¤¤à¥à¤µà¤ªà¥‚à¤°à¥à¤£ à¤µà¤¿à¤­à¤¾à¤— à¤œà¥‡à¤² à¤¸à¥‡ à¤šà¤² à¤°à¤¹à¥‡ à¤¹à¥ˆà¤‚à¥¤ à¤‡à¤¸ à¤¸à¤°à¤•à¤¾à¤° à¤®à¥‡à¤‚ à¤¨à¤¾ à¤¤à¥‹ à¤²à¥‹à¤—à¥‹à¤‚ à¤•à¤¾ à¤œà¥€à¤µà¤¨ à¤¸à¥à¤°à¤•à¥à¤·à¤¿à¤¤ à¤¹à¥ˆ à¤”à¤° à¤¨à¤¾ à¤¹à¥€ à¤®à¤¹à¤¿à¤²à¤¾à¤“à¤‚ à¤•à¤¾ à¤¸à¤®à¥à¤®à¤¾à¤¨ à¤¹à¥ˆà¥¤  - à¤ªà¥€à¤à¤® @narendramodi,BJP,"Apr 3, 2024 Â· 12:19 PM UTC",506,1,228,30
17,https://twitter.com/BJP4India/status/1775498090109157591#m,"People of Bengal look at BJP with new hope.  There is a superficial conflict between the Left, TMC and Congress in Bengal. Behind the curtains, they are allies.  They are fighting against BJP because we have tightened our grip on the corrupt leaders.  - PM @narendramodi",BJP,"Apr 3, 2024 Â· 12:18 PM UTC",511,0,205,15
18,https://twitter.com/BJP4India/status/1775495448372891965#m,"Do the people of West Bengal know that Mamata Banerjee does not let the welfare initiatives of the Central govt get implemented in Bengal?  Over the past 10 years, BJP govt has worked relentlessly for people, especially for Nari Shakti.   I urge you to enlist all the initiatives which don't reach the intended beneficiaries and make people aware of how Mamata Banerjee is responsible for their conditions.  - PM @narendramodi",BJP,"Apr 3, 2024 Â· 12:07 PM UTC",566,2,243,37
19,https://twitter.com/BJP4India/status/1775491524614029566#m,"During elections, in West Bengal, the biggest issue is of violence.   The Election Commission has made special arrangements for the security and safety of the people. We all also monitor the events that unfold in West Bengal.  You have to encourage people to vote fearlessly.  - PM @narendramodi",BJP,"Apr 3, 2024 Â· 11:52 AM UTC",727,4,258,46
20,https://twitter.com/BJP4India/status/1775490841793949874#m,"à¤ªà¤¶à¥à¤šà¤¿à¤® à¤¬à¤‚à¤—à¤¾à¤² à¤•à¥‡ à¤šà¥à¤¨à¤¾à¤µ à¤®à¥‡à¤‚ à¤¸à¤¬à¤¸à¥‡ à¤¬à¤¡à¤¼à¥€ à¤šà¥à¤¨à¥Œà¤¤à¥€ à¤šà¥à¤¨à¤¾à¤µà¥€ à¤¹à¤¿à¤‚à¤¸à¤¾ à¤•à¥€ à¤¹à¥‹à¤¤à¥€ à¤¹à¥ˆ, à¤²à¥‡à¤•à¤¿à¤¨ à¤šà¥à¤¨à¤¾à¤µ à¤†à¤¯à¥‹à¤— à¤¨à¥‡ à¤¸à¥à¤°à¤•à¥à¤·à¤¾ à¤•à¥‡ à¤ªà¥à¤–à¥à¤¤à¤¾ à¤ªà¥à¤°à¤¬à¤‚à¤§ à¤•à¤¿à¤ à¤¹à¥ˆà¤‚à¥¤  à¤¹à¤® à¤¸à¤¬ à¤­à¥€ à¤¬à¤‚à¤—à¤¾à¤² à¤•à¥€ à¤¸à¥à¤¥à¤¿à¤¤à¤¿ à¤ªà¤° à¤¨à¤œà¤° à¤¬à¤¨à¤¾à¤ à¤°à¤–à¤¤à¥‡ à¤¹à¥ˆà¤‚à¥¤ à¤¹à¤®à¥‡à¤‚ à¤¹à¤° à¤µà¥‹à¤Ÿà¤° à¤•à¥‡ à¤˜à¤° à¤ªà¤¹à¥à¤‚à¤šà¤•à¤° à¤‰à¤¨à¥à¤¹à¥‡à¤‚ à¤¹à¥Œà¤¸à¤²à¤¾ à¤¦à¥‡à¤¨à¤¾ à¤¹à¥ˆ à¤•à¤¿ à¤µà¥‡ à¤¨à¤¿à¤¡à¤° à¤¹à¥‹à¤•à¤° à¤®à¤¤à¤¦à¤¾à¤¨ à¤•à¤°à¥‡à¤‚à¥¤  - à¤ªà¥€à¤à¤® @narendramodi https://youtu.be/4AnNbEJwsC0",BJP,"Apr 3, 2024 Â· 11:49 AM UTC",574,5,225,33
21,https://twitter.com/BJP4India/status/1775490630170407024#m,"Before every election, TMC tries to stop the works of BJP by hook or by crook. The country has seen how BJP karyakartas have worked despite the threats.  You all have once again started the preparations for elections. I assure you that your efforts will not go in vain.   - PM @narendramodi",BJP,"Apr 3, 2024 Â· 11:48 AM UTC",503,2,241,20
22,https://twitter.com/BJP4India/status/1775490394798559592#m,à¤Ÿà¥€à¤à¤®à¤¸à¥€ à¤¦à¥à¤µà¤¾à¤°à¤¾ à¤¹à¤¿à¤‚à¤¸à¤¾ à¤•à¤¾ à¤¸à¤¹à¤¾à¤°à¤¾ à¤²à¥‡à¤•à¤° à¤­à¤¾à¤œà¤ªà¤¾ à¤•à¥‹ à¤°à¥‹à¤•à¤¨à¥‡ à¤•à¥€ à¤•à¥‹à¤¶à¤¿à¤¶ à¤¹à¥‹à¤¤à¥€ à¤¹à¥ˆà¥¤ à¤¦à¥‡à¤¶ à¤¨à¥‡ à¤¯à¤¹ à¤­à¥€ à¤¦à¥‡à¤–à¤¾ à¤¹à¥ˆ à¤•à¤¿ à¤•à¥ˆà¤¸à¥‡ à¤­à¤¾à¤œà¤ªà¤¾ à¤•à¤¾à¤°à¥à¤¯à¤•à¤°à¥à¤¤à¤¾ à¤¨à¤¿à¤¡à¤° à¤¹à¥‹à¤•à¤° à¤…à¤ªà¤¨à¥‡ à¤¬à¥‚à¤¥ à¤ªà¤° à¤¡à¤Ÿà¥‡ à¤°à¤¹à¥‡ à¤”à¤° à¤µà¥‹à¤Ÿà¤°à¥‹à¤‚ à¤•à¤¾ à¤¸à¤¾à¤¥ à¤¦à¤¿à¤¯à¤¾à¥¤  - à¤ªà¥€à¤à¤® @narendramodi https://youtu.be/4AnNbEJwsC0,BJP,"Apr 3, 2024 Â· 11:47 AM UTC",393,5,221,13
23,https://twitter.com/BJP4India/status/1775490029525020719#m,It is laudable how BJP karyakartas of West Bengal manage to work in a hostile environment. Our karyakartas are putting themselves in danger and working for the people. It is due to your efforts that the trust of the people in BJP is increasing day by day.  - PM @narendramodi,BJP,"Apr 3, 2024 Â· 11:46 AM UTC",475,1,222,30
