,link,text,user,date,likes,quotes,retweets,comments
10,https://twitter.com/AIMIM_Bihar1/status/1775124729088623041#m,"à¤¸à¤¡à¤¼à¤• à¤•à¥‡ à¤¸à¤¾à¤¥ à¤¸à¤¾à¤¥ à¤ªà¥à¤² à¤­à¥€ à¤®à¤¿à¤²à¥‡à¤—à¤¾  , à¤…à¤¸à¥à¤ªà¤¤à¤¾à¤² à¤•à¥‡ à¤¸à¤¾à¤¥ à¤¸à¤¾à¤¥ à¤¸à¥à¤•à¥‚à¤² à¤­à¥€ à¤®à¤¿à¤²à¥‡à¤—à¤¾  ,  à¤ªà¤¤à¤‚à¤— à¤•à¥‹ à¤µà¥‹à¤Ÿ à¤¦à¥€à¤œà¤¿à¤¯à¥‡  , Vote For Kite  #AIMIM #akhtaruliman #Biharelection2024 #VoteForKite #VoteForMIM #votefordevelpment #kishanganjbihar #VoteForMajlis #Bihar #india",AIMIM Bihar Official,"Apr 2, 2024 Â· 11:34 AM UTC",69,0,17,2
11,https://twitter.com/AIMIM_Bihar1/status/1775502956198064408#m,"AIMIM, à¤—à¤¼à¤°à¥€à¤¬à¥‹à¤‚ à¤”à¤° à¤®à¤œà¤²à¥‚à¤®à¥‹à¤‚ à¤•à¥€ à¤¸à¤¹à¤¾à¤°à¤¾ à¤¹à¥ˆ  à¤‡à¤¸à¤²à¤¿à¤ #Kishanganj à¤•à¥€ à¤œà¤¨à¤¤à¤¾ à¤¨à¥‡ @aimim_national à¤•à¥‹ à¤ªà¥à¤•à¤¾à¤°à¤¾ à¤¹à¥ˆ  à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤•à¥€ à¤œà¤¨à¤¤à¤¾ à¤¸à¥‡ à¤…à¤ªà¥€à¤² à¤¹à¥ˆ à¤•à¤¿ 26 à¤…à¤ªà¥à¤°à¥ˆà¤² à¤•à¥‹ à¤ªà¤¤à¤‚à¤— à¤•à¥‡ à¤¨à¤¿à¤¶à¤¾à¤¨ à¤ªà¤° à¤¬à¤Ÿà¤¨ à¤¦à¤¬à¤¾à¤•à¤° à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤²à¥‹à¤•à¤¸à¤­à¤¾ à¤¸à¥€à¤Ÿ à¤¸à¥‡ AIMIM à¤ªà¥à¤°à¤¤à¥à¤¯à¤¾à¤¶à¥€ @Akhtaruliman5 à¤•à¥‹ à¤­à¤¾à¤°à¥€ à¤®à¤¤à¥‹à¤‚ à¤¸à¥‡ à¤•à¤¾à¤®à¤¯à¤¾à¤¬ à¤•à¤°à¥‡ |   #AIMIM #AkhtarulIman #Bihar",AIMIM Bihar Official,"Apr 3, 2024 Â· 12:37 PM UTC",70,0,18,0
12,https://twitter.com/MuslimSpaces/status/1775177810413600806#m,â€œà¤®à¥à¤¸à¤²à¤®à¤¾à¤¨à¥‹à¤‚ à¤•à¥‹ à¤­à¤¾à¤°à¤¤ à¤•à¥€ à¤°à¤¾à¤œà¤¨à¥€à¤¤à¤¿ à¤®à¥‡à¤‚ à¤¸à¤­à¥€ à¤°à¤¾à¤œà¤¨à¥€à¤¤à¤¿à¤• à¤¦à¤²à¥‹à¤‚ à¤¨à¥‡ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤°à¥€à¤¯ à¤¸à¥à¤¤à¤° à¤”à¤° à¤–à¤¾à¤¸ à¤¤à¥Œà¤° à¤ªà¤° à¤‰à¤¤à¥à¤¤à¤° à¤ªà¥à¤°à¤¦à¥‡à¤¶ à¤®à¥‡à¤‚ à¤…à¤¦à¥ƒà¤¶à¥à¤¯ à¤•à¤° à¤¦à¤¿à¤¯à¤¾ à¤¹à¥ˆâ€: @asadowaisi #LokasabhaElection2024 #AsaduddinOwaisi #AIMIM #IndianMuslim #Majlis #IndianMuslims,Muslim Spaces,"Apr 2, 2024 Â· 3:05 PM UTC",758,2,316,1
13,https://twitter.com/YouthSartajAlam/status/1775413270234730508#m,à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤¸à¤‚à¤¸à¤¦à¥€à¤¯ à¤¸à¥€à¤Ÿ à¤¸à¥‡ AIMIM à¤•à¥‡ à¤¸à¤¿à¤‚à¤¬à¤² à¤ªà¤° à¤…à¤–à¥à¤¤à¤° à¤‰à¤² à¤ˆà¤®à¤¾à¤¨ à¤¨à¥‡ à¤¨à¤¾à¤®à¤¾à¤‚à¤•à¤¨ à¤ªà¤°à¥à¤šà¤¾ à¤¦à¤¾à¤–à¤¿à¤² à¤•à¤¿à¤¯à¤¾ @aimim_national @AkhtarulImanMLA #Bihar #LokasabhaElection2024,Sartaj Alam Champarni Ø³Ø±ØªØ§Ø¬,"Apr 3, 2024 Â· 6:41 AM UTC",1321,2,174,10
14,https://twitter.com/aimim_national/status/1775486344610885999#m,Mera qadam qadam pe madad-gaar hai khuda  #AIMIM #AsaduddinOwaisi #Ramzanekareem #Hyderabad #Telangana #India,AIMIM,"Apr 3, 2024 Â· 11:31 AM UTC",1080,0,158,5
15,https://twitter.com/naseerCorpGhmc/status/1775448977363911031#m,"à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤²à¥‹à¤•à¤¸à¤­à¤¾ à¤¸à¥€à¤Ÿ à¤¸à¥‡ AIMIM à¤ªà¥à¤°à¤¤à¥à¤¯à¤¾à¤¶à¥€ @Akhtaruliman5 à¤¨à¥‡ à¤¨à¤¾à¤®à¤¾à¤‚à¤•à¤¨ à¤ªà¤°à¥à¤šà¤¾ à¤¦à¤¾à¤–à¤¿à¤² à¤•à¤¿à¤¯à¤¾à¥¤ à¤‡à¤¸ à¤®à¥Œà¤•à¤¼à¥‡ à¤ªà¤° AIMIM à¤¬à¤¿à¤¹à¤¾à¤° à¤ªà¥à¤°à¤­à¤¾à¤°à¥€ @Md_MajidHussain & @AIMIM4Bihar1 à¤¯à¥‚à¤¥ à¤ªà¥à¤°à¥‡à¤œà¤¿à¤¡à¥‡à¤‚à¤Ÿ @AadilHasanAdv1, à¤œà¤¨à¤¾à¤¬ à¤¨à¥à¤°à¥à¤² à¤¹à¤•à¤¼ ,à¤œà¤¨à¤¾à¤¬ à¤®à¥à¤œà¤«à¥à¤«à¤° à¤¹à¥à¤¸à¥ˆà¤¨ à¤¸à¤¾à¤¹à¤¬ à¤”à¤° à¤®à¤œà¤²à¤¿à¤¸ à¤•à¥‡ à¤…à¤¨à¥à¤¯ à¤•à¤¾à¤°à¥à¤¯à¤•à¤°à¥à¤¤à¤¾ à¤®à¥Œà¤œà¥‚à¤¦ à¤¥à¥‡à¥¤ à¤•à¤¿à¤¶à¤¨à¤—à¤‚à¤œ à¤•à¥€ à¤œà¤¨à¤¤à¤¾ à¤¸à¥‡ à¤…à¤ªà¥€à¤² à¤¹à¥ˆ à¤•à¤¿ à¤†à¤ªà¤²à¥‹à¤— AIMIM à¤•à¥‹ à¤•à¤¾à¤®à¤¯à¤¾à¤¬ à¤•à¥€à¤œà¤¿à¤¯à¥‡ à¤¤à¤¾à¤•à¤¿ @AkhtarulImanMLA à¤¸à¤¾à¤¹à¤¬ à¤¸à¤‚à¤¸à¤¦ à¤®à¥‡à¤‚ à¤¸à¥€à¤®à¤¾à¤‚à¤šà¤² à¤•à¥‡ à¤²à¤¿à¤ à¤à¤• à¤®à¤œà¤¼à¤¬à¥‚à¤¤ à¤†à¤µà¤¾à¤œà¤¼ à¤¬à¤¨ à¤¸à¤•à¥‡à¥¤ 26 à¤…à¤ªà¥à¤°à¥ˆà¤² à¤•à¥‹ à¤ªà¤¤à¤‚à¤— à¤•à¥‡ à¤¨à¤¿à¤¶à¤¾à¤¨ à¤ªà¤° à¤¬à¤Ÿà¤¨ à¤¦à¤¬à¤¾à¤•à¤° à¤…à¤–à¤¼à¥à¤¤à¤°à¥à¤² à¤ˆà¤®à¤¾à¤¨ à¤¸à¤¾à¤¹à¤¬ à¤•à¥‹ à¤•à¤¾à¤®à¤¯à¤¾à¤¬ à¤•à¥€à¤œà¤¿à¤!!",Mohammed Naseeruddin,"Apr 3, 2024 Â· 9:03 AM UTC",2024,2,383,15
16,https://twitter.com/4tvhyd/status/1775061082933223902#m,You are next Fringe Elements warn Asaduddin Owaisi. #NewsUpdate #4tvnews #AIMIM @asadowaisi,4tv News Channel,"Apr 2, 2024 Â· 7:21 AM UTC",102,0,40,0
17,https://twitter.com/MohdRashedFaraz/status/1775219140686762144#m,"7 Tombs Ke Pass Mein Ghulam Mohammed Sahab Ke Hadse Ne Hum Sab Ko Sadma Diya Hai Aur @aimim_national Ghulam Mohammed sahab Ko Taaziyat Pesh karti Hai.  Karwan MLA @kausarmohiuddin Sahab Aur AIMIM Jubilee Hills Contested MLA & Shaikpet Corporator ðŒð¨ð¡ðšð¦ð¦ðžð ð‘ðšð¬ð¡ðžð ð…ðšð«ðšð³ð®ððð¢ð§ Ne Unka Ilaaj Karwaya, Lekin Unki Jaan Nahi Bach Saki. Majlis Is Hadse Ki Mazamat Karti Hai Aur Zimmedar logon Ke khilaf Sakht Action ki Demand Karti Hai.  @asadowaisi @akbarowaisii #7tombs #OurWorkIsOurIdentity #RoadAccident #Hyderabad #Telangana #india",Mohammed Rashed Farazuddin,"Apr 2, 2024 Â· 5:49 PM UTC",129,0,30,1
18,https://twitter.com/AadilHasanAdv1/status/1775432928824090655#m,#Alhamdulillah nomination of @AkhtarulImanMLA sb submitted before @DM_Kishanganj Returning Officer with @Md_MajidHussain sb & others. Support the leadership of Br @asadowaisi sb . Vote & Support @Akhtaruliman5 sb AIMIM Kishanganj Lok Sabha candidate. #Kite ðŸª,Aadil Hasan Adv,"Apr 3, 2024 Â· 7:59 AM UTC",946,7,187,30
19,https://twitter.com/aimim_national/status/1775454737691013305#m,,AIMIM,"Apr 3, 2024 Â· 9:26 AM UTC",18,0,0,0
